P.Uniprot,P.Symbol,Description,Count,CTL1,CTL2,CTL3,CTL4,CTL5,CTL6,CTL7,CTL8,CTL9,CTL10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,PD1,PD2,PD3,PD4,PD5,PD6,PD7,PD8,PD9,PD10,AD.pval,PD.pval,CT.mean,AD.mean,PD.mean
Q9UL15-2,BAG5,Isoform 2 of BAG family molecular chaperone regulator 5 OS=Homo sapiens BAG5,10,1.09124928,1.099165227,1.116582187,0.996379435,1.063377869,0.957177115,1.050670507,1.019530195,0.990402075,0.971206226,0.94228555,0.937248129,0.944967415,0.938812455,0.832476876,0.865364851,0.888308883,0.904239042,1.055252918,0.867444877,1.027633851,1.027202073,1.060463432,0.918537292,1.032545392,0.987324426,1.053100531,1.003690037,0.935927367,1.000259403,0.000316285,0.199988663,1.035574012,0.9176401,1.00466838
P46379-3,BAG6,Isoform 3 of Large proline-rich protein BAG6 OS=Homo sapiens BAG6,10,1.09164391,1.040742764,1.006701415,1.015140233,1.071022727,1.003977273,1.010502755,0.936208678,0.976697062,1.082742317,0.980884762,1.012561442,0.899478779,1.025564656,0.917045455,0.943181818,0.981749311,0.898674242,0.783519081,0.919284026,1.052102676,0.997050792,0.934723256,0.965003723,0.922727273,0.9625,1.020919421,1.080061983,0.971293482,0.980749747,0.004713285,0.131742022,1.023537913,0.936194357,0.988713235
O14514,BAI1,Brain-specific angiogenesis inhibitor 1 OS=Homo sapiens BAI1 PE=1 SV=2,10,1.40436949,0.934329884,1.086543272,1.212606303,1.167964405,0.996662959,0.955049945,1.000554939,1.310749186,1.038436482,0.882585921,0.970997828,1.132566283,1.1995998,0.912124583,1.163515017,0.969478357,0.777654458,0.642345277,0.639739414,1.232783953,0.929985946,1.204602301,0.933466733,1.156840934,1.14349277,1.080096189,1.098039216,0.904234528,1.001954397,0.037731868,0.510382158,1.110726686,0.929060694,1.068549697
O60241,BAI2,Brain-specific angiogenesis inhibitor 2 OS=Homo sapiens BAI2 PE=2 SV=2,10,1.290270488,0.942672588,1.254723127,1.074918567,1.150293871,1.022670025,1.115923567,1.096129348,1.311011905,1.074404762,0.896245458,1.006459427,0.974592834,1.211726384,0.597816961,0.911838791,1.032631063,0.816658501,0.543154762,0.889880952,1.090835688,0.943076302,0.813029316,1.028013029,1.118387909,1.202350966,0.983831455,1.08633023,0.962797619,1.037202381,0.003628942,0.050794629,1.133301825,0.888100513,1.02658549
O60242,BAI3,Brain-specific angiogenesis inhibitor 3 OS=Homo sapiens BAI3 PE=1 SV=2,10,1.05639243,0.912128235,1.116323907,1.055912596,1.017038008,1.036260376,0.990496976,1.201109444,1.173272933,0.910532276,0.883545771,1.034762457,1.131748072,1.169023136,0.865880297,0.890345129,0.995134816,0.859819033,0.756511891,0.457531144,1.046349942,0.979915025,1.027634961,1.036632391,1.046745304,1.027522936,1.091165371,1.113354249,0.971687429,1.021517554,0.06115343,0.755054067,1.046946718,0.904430175,1.036252516
Q9UQB8,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Homo sapiens BAIAP2 PE=1 SV=1,10,1.206066797,0.965101695,1.103567461,1.16244908,1.066322267,1.103851706,1.016670269,0.962822868,1.129758713,1.090348525,0.833318248,0.973997595,1.060733243,1.14726577,0.738889311,0.755147003,1.023316762,0.927996326,0.720911528,0.801206434,1.233763043,0.986255317,1.099740773,1.036785582,1.096862417,1.063739269,1.086026154,1.19893548,1.107908847,0.99075067,0.003195351,0.795684648,1.080695938,0.898278222,1.090076755
O94812,BAIAP3,BAI1-associated protein 3 OS=Homo sapiens BAIAP3 PE=1 SV=2,10,0.983819974,1.046680305,1.134387352,1.145256917,0.844748858,1.089041096,0.879827089,1.076657061,0.849785408,1.000613121,0.875581179,0.887855682,1.020750988,0.833003953,0.837899543,0.582191781,0.84870317,0.744380403,0.966278357,0.46106683,1.027710619,0.841733309,1.0256917,1,1.068493151,0.96347032,0.84870317,0.998847262,0.949110975,0.837522992,0.006407304,0.28990884,1.005081718,0.805771189,0.95612835
O75531,BANF1,Barrier-to-autointegration factor OS=Homo sapiens BANF1 PE=1 SV=1,10,0.639027877,0.650464618,1.014164306,0.980169972,1.130718954,0.928104575,1.267654151,1.075439201,1.027131783,1.069767442,0.9807005,0.943531094,1.342776204,0.821529745,0.882352941,0.986928105,0.614536686,1.103685842,1.38372093,2.096899225,0.566118656,0.689063617,1.184135977,1.016997167,1.091503268,0.993464052,1.072683431,0.772993455,0.914728682,0.69379845,0.356401059,0.396150381,0.978264288,1.115666127,0.899548676
P80723,BASP1,Brain acid soluble protein 1 OS=Homo sapiens BASP1 PE=1 SV=2,10,1.318194467,0.894525469,0.961147282,1.011403475,1.011853088,1.085012057,0.925793506,1.020165041,1.310142516,0.998489459,0.941896353,0.945235716,1.361020149,0.995723697,0.748543869,0.671266926,1.035907903,0.714651709,0.743098579,1.104358677,1.397080587,0.941858406,1.10729283,1.003467273,1.163698757,1.074216286,1.152506893,1.255694239,1.015937302,0.970445938,0.138178727,0.407462437,1.053672636,0.926170358,1.108219851
Q07812-2,BAX,Isoform Beta of Apoptosis regulator BAX OS=Homo sapiens BAX,10,0.906453952,0.923132705,0.820895522,0.771144279,0.647058824,0.705882353,0.927905531,1.054381603,1.052631579,1.089783282,1.242204496,1.018129079,0.880597015,0.930348259,1.270588235,0.741176471,1.097265382,1.070851461,0.978328173,0.842105263,0.982596084,0.907179115,1.094527363,0.975124378,1.082352941,0.611764706,0.952454941,0.986016159,1.374613003,1.083591331,0.120527886,0.152274025,0.889926963,1.007159383,1.005022002
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B OS=Homo sapiens BAZ1B PE=1 SV=2,10,0.832366589,1.242459397,1.098245614,0.978947368,0.943429069,0.973020017,1.055590452,0.87531407,1.037037037,0.978213508,1.231438515,1.048143852,0.694736842,1.087719298,1.300261097,1.298520453,0.979271357,1.022927136,1.095860566,1.17211329,1.127030162,0.926334107,0.992982456,0.859649123,0.976501305,1.06875544,0.876256281,0.906092965,0.877995643,1.030501089,0.191598525,0.434083288,1.001462312,1.09309924,0.964209857
O75936,BBOX1,Gamma-butyrobetaine dioxygenase OS=Homo sapiens BBOX1 PE=1 SV=1,10,0.51784829,0.833663857,0.73963072,0.679689591,0.818950931,0.76142132,0.833517217,0.877533244,0.725790988,0.772770853,1.364898364,1.294248884,0.783516189,0.705378646,1.659898477,1.382402707,0.987166831,0.849892573,1.240651965,1.468839885,0.751115518,0.569657908,0.738025154,0.916242976,1.013536379,0.913705584,0.676964172,0.716915394,0.701821668,0.674976031,0.001034957,0.837908658,0.756081701,1.173689452,0.767296078
Q8NFJ9-2,BBS1,Isoform 3 of Bardet-Biedl syndrome 1 protein OS=Homo sapiens BBS1,9,0.898843931,1.057803468,0.651162791,0.912790698,1.288135593,1.677966102,0.966431095,1.060070671,,0.470588235,1.095375723,1.106936416,0.970930233,0.755813953,1.118644068,0.779661017,0.916961131,0.959363958,1.058823529,2.058823529,0.919075145,0.820809249,0.918604651,0.761627907,1.779661017,0.847457627,0.881625442,1.005300353,0.470588235,,0.616504344,0.701623607,0.998199176,1.082133356,0.93386107
Q9BXC9,BBS2,Bardet-Biedl syndrome 2 protein OS=Homo sapiens BBS2 PE=1 SV=1,10,0.873636947,1.081462476,0.96969697,1.072891073,1.058139535,0.962209302,0.975397344,1.050729371,0.969230769,0.946153846,1.412443874,1.018601668,0.892710893,0.841932842,1.084302326,1.043604651,0.996734161,0.950576965,1.069230769,0.961538462,1.112251443,0.901860167,0.827190827,0.925470925,1.427325581,1.171511628,0.895710864,0.96930111,1.046153846,0.9,0.567005148,0.724361176,0.995954763,1.027167661,1.017677639
Q96RK4-2,BBS4,Isoform 2 of Bardet-Biedl syndrome 4 protein OS=Homo sapiens BBS4,8,0.948262305,0.900456047,,,0.897959184,1.045918367,0.923311445,0.929174484,1.055393586,1.078717201,1.098285894,1.017455575,,,0.959183673,1.275510204,1.010084428,0.951219512,1.2303207,1.055393586,0.996068564,0.781254914,,,0.974489796,0.882653061,0.894465291,0.877345216,0.816326531,1.090379009,0.060612573,0.210747429,0.972399077,1.074681697,0.914122798
Q8IWZ6,BBS7,Bardet-Biedl syndrome 7 protein OS=Homo sapiens BBS7 PE=1 SV=2,6,0.874087591,1.204379562,,,1.085201794,1.094170404,0.896655017,1.054418372,,,1.080291971,1.217153285,,,1.085201794,1.165919283,0.940589116,0.849725412,,,1.063868613,1.100364964,,,0.950672646,1.076233184,0.971542686,0.904643035,,,0.782782273,0.707013307,1.03481879,1.056480143,1.011220855
Q3SYG4,BBS9,Protein PTHB1 OS=Homo sapiens BBS9 PE=1 SV=1,6,1.19226638,0.912996778,,,0.846473029,0.829875519,0.975728155,0.868932039,,,2.004296455,0.947368421,,,1.004149378,1.228215768,1.145631068,1.053398058,,,1.056928034,1.052631579,,,0.970954357,1.253112033,1.033980583,1.22815534,,,0.114487617,0.04924891,0.937711983,1.230509858,1.099293654
P50895,BCAM,Basal cell adhesion molecule OS=Homo sapiens BCAM PE=1 SV=2,10,0.853694264,0.84349915,1.266992931,1.10331702,0.963903743,0.987522282,0.931926834,1.106214924,1.201606829,0.854130053,0.985176071,0.872795453,1.315932572,1.1348559,0.833778966,0.900623886,0.94813968,0.747349823,0.82299774,1.089630931,1.167867815,0.816546552,1.161500816,1.04023926,1.263814617,0.953654189,1.112138848,0.919871129,0.934471504,0.884760231,0.531739713,0.833087288,1.011280803,0.965128102,1.025486496
Q96GW7,BCAN,Brevican core protein OS=Homo sapiens BCAN PE=1 SV=2,10,0.843365184,1.150305317,1.015122758,0.925243372,0.865177002,0.909030044,1.063889326,1.007011476,1.016594381,1.08881765,0.984399408,0.888564299,0.973611706,0.809159371,1.159929701,1.080927274,0.97657601,1.14959912,1.181783896,1.490854233,0.920414663,1.1713225,0.963815588,0.955611339,0.874048037,0.957234915,0.967866688,1.035497563,0.984348482,1.010937205,0.251115733,0.915596926,0.988455651,1.069540502,0.984109698
Q9UHQ4,BCAP29,B-cell receptor-associated protein 29 OS=Homo sapiens BCAP29 PE=1 SV=2,10,1.06447434,1.007075237,1.117856672,1.018081035,1.072423398,1.065111421,0.996005046,1.058662742,1.055474453,0.881265207,1.010064773,0.986347783,0.926488056,0.95341164,0.849930362,0.834261838,0.932506308,0.851836277,0.777615572,0.349878345,1.066068759,1.089586447,1.164840966,1.123135806,1.003830084,1.040041783,1.034342585,1.098892627,0.997080292,1.046715328,0.008639988,0.2292722,1.033642955,0.847234096,1.066453468
P51572-2,BCAP31,Isoform 2 of B-cell receptor-associated protein 31 OS=Homo sapiens BCAP31,10,0.958627591,0.940528949,1.135939826,0.951187025,0.974978051,0.919227392,0.924190573,0.995814516,1.060661506,1.010133709,1.001486776,0.959942816,0.985504975,0.945859124,0.882060287,0.899619549,0.981591502,0.915972266,0.915270936,0.58817734,1.060500357,1.066590422,1.043485074,1.02797148,1.026485221,1.017559263,1.050187647,1.06481776,1.053624208,0.9947924,0.082517111,0.029555389,0.987128914,0.907548557,1.040601383
P56945-6,BCAR1,Isoform 6 of Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens BCAR1,10,1.129083002,0.912741741,0.883458647,1.086466165,1.031439603,1.157198014,1.0105461,0.997180746,1.042553191,0.970212766,0.990839271,0.996206163,1.127819549,1.236842105,1.183673469,0.733590734,0.963976193,0.972120706,0.909219858,1.265248227,1.157212918,0.869621542,0.879699248,1.015037594,1.328185328,1.096525097,1.064425185,0.979847551,0.974468085,0.819858156,0.790794191,0.94894492,1.022087998,1.037953627,1.01848807
O75815,BCAR3,Breast cancer anti-estrogen resistance protein 3 OS=Homo sapiens BCAR3 PE=1 SV=1,10,0.844519966,0.846219201,1.017408124,0.959381044,0.904290429,0.594059406,0.967423495,0.923000987,1.095652174,0.669565217,1.478334749,1.282922685,0.878143133,1.18762089,0.844884488,0.858085809,0.918065153,1.091806515,1.069565217,5.208695652,0.924384027,0.987255735,1.214700193,1.16827853,0.831683168,0.508250825,1.070088845,1.017769003,0.843478261,1.034782609,0.172377454,0.342831684,0.882152004,1.481812429,0.96006712
G3XAF7,BCAS1,"Breast carcinoma amplified sequence 1, isoform CRA_c OS=Homo sapiens BCAS1 PE=1 SV=1",8,,,0.770083102,1.08033241,0.766666667,0.545833333,1.361702128,0.918439716,0.381188119,1.02970297,,,0.515235457,0.958448753,1.579166667,1.3125,1.340425532,1.737588652,2.534653465,0.811881188,,,1.35734072,0.980609418,0.716666667,0.883333333,0.80141844,0.886524823,0.856435644,1.034653465,0.066541901,0.533566071,0.856743556,1.348737464,0.939622814
O75363,BCAS1,Breast carcinoma-amplified sequence 1 OS=Homo sapiens BCAS1 PE=1 SV=2,10,0.699896158,1.495327103,0.936378467,0.675367047,0.764705882,0.62745098,1.386273805,0.967301473,0.863247863,1.051282051,1.18172378,1.007268951,0.564437194,0.884176183,1.751633987,1.882352941,1.155228171,1.611210923,2.495726496,1.803418803,0.477673936,1.03219107,0.760195759,1.014681892,0.54248366,0.588235294,0.734459217,0.736615163,0.769230769,1.017094017,0.028444439,0.128981259,0.946723083,1.433717743,0.767286078
O75363-2,BCAS1,Isoform 2 of Breast carcinoma-amplified sequence 1 OS=Homo sapiens BCAS1,10,0.596456337,1.470620141,0.937541846,0.782496413,0.771676859,0.589636305,1.519049411,0.733114054,0.638628571,1.43192381,1.109021877,0.878900741,0.463892874,0.706743185,1.759124557,1.73607982,1.011008484,1.899455038,2.290438095,1.361828571,0.430121135,1.030555053,0.816642755,1.076422764,0.590537496,0.761377535,0.660630409,0.735711425,0.89432381,1.167695238,0.106574652,0.362684901,0.947114375,1.321649324,0.816401762
O75934,BCAS2,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens BCAS2 PE=1 SV=1,10,1.044280443,1.045202952,0.858247423,0.920103093,0.944990177,1.190569745,1.119694656,0.766412214,1.020472441,0.661417323,1.02398524,1.048892989,0.755154639,0.75,0.502946955,0.768172888,1.029007634,0.966412214,0.77480315,0.71496063,1.104243542,0.82195572,0.827319588,0.824742268,1.202357564,1.131630648,0.883053435,1.157251908,0.781102362,1.111811024,0.120386165,0.715527427,0.957139047,0.833433634,0.984546806
Q9H6U6,BCAS3,Breast carcinoma-amplified sequence 3 OS=Homo sapiens BCAS3 PE=1 SV=3,9,1.259259259,0.932249322,0.588235294,0.761029412,0.979353493,0.978519291,0.956445993,0.804878049,1.136842105,2.421052632,0.952122855,0.98102981,0.661764706,2.275735294,0.772471324,0.835453597,1.008710801,0.925087108,1.389473684,,1.154471545,1.028003613,0.841911765,1.180147059,0.933889468,1.02898853,1.101045296,1.308362369,0.884210526,1.305263158,0.974904935,0.975900163,1.081786485,1.089094353,1.076629333
Q9H6U6-8,BCAS3,Isoform 4 of Breast carcinoma-amplified sequence 3 OS=Homo sapiens BCAS3,8,,,1.086826347,1.086826347,0.979353493,0.978519291,0.959057123,0.970884153,1.173751548,1.014444903,,,1.02994012,1.086826347,0.772471324,0.835453597,0.946819432,0.947065829,0.761452745,0.65662402,,,1.11002994,1.015344311,0.933889468,1.02898853,1.079298591,1.115026077,0.973586463,1.014444903,0.021638749,0.941984022,1.031207901,0.879581677,1.033826035
Q9H6U6-7,BCAS3,Isoform 5 of Breast carcinoma-amplified sequence 3 OS=Homo sapiens BCAS3,10,1.140607556,0.953169986,1.088737201,1.065604854,0.979353493,0.978519291,0.961849067,0.969248518,1.161251261,1.012310797,0.945884012,1.003349198,1.019340159,1.069017823,0.772471324,0.835453597,0.950471417,0.951505748,0.753178607,0.657921292,1.037781303,1.000411305,1.097080015,1.015168752,0.933889468,1.02898853,1.075148188,1.113816287,0.973965691,1.010696266,0.012747699,0.938035405,1.031065203,0.895859318,1.028694581
P54687-5,BCAT1,"Isoform 5 of Branched-chain-amino-acid aminotransferase, cytosolic OS=Homo sapiens BCAT1",10,1.177995449,1.106164045,1.037264358,1.16878562,1.047501542,1.302899445,1.016418397,1.020115255,1.001085776,0.981541802,0.893835955,0.858612843,0.947829899,1.10828584,0.959901295,1.115360888,1.025334348,0.861802762,0.951140065,0.790445168,0.922726823,1.184921342,0.994300745,0.916264796,0.843923504,1.130166564,0.984451452,0.947700337,1.226927253,0.986970684,0.009949751,0.175212332,1.085977169,0.951254906,1.01383535
M0QXF9,BCAT2,Branched-chain-amino-acid aminotransferase (Fragment) OS=Homo sapiens BCAT2 PE=1 SV=1,10,0.784017279,0.917206623,1.043859649,1.000974659,1.439169139,1.329376855,0.764106799,1.499036609,0.835294118,0.929411765,0.763858891,0.730021598,1.369395712,1.140350877,0.703264095,1.154302671,1.138453069,0.866501514,0.929411765,1.258823529,1.128149748,0.73938085,0.943469786,1.132553606,1.459940653,1.228486647,1.226534544,0.762455271,1.070588235,0.329411765,0.673614323,0.699895528,1.054245349,1.005438372,1.00209711
P06276,BCHE,Cholinesterase OS=Homo sapiens BCHE PE=1 SV=1,6,1.012307692,0.916923077,0.553571429,0.821428571,,,1.280936455,1.050167224,,,1.301538462,0.984615385,0.6875,0.705357143,,,1.003344482,1.147157191,,,0.941538462,1,0.678571429,1.125,,,1.046822742,0.74916388,,,0.822140457,0.900488043,0.939222408,0.971585444,0.923516085
P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens BCKDHB PE=1 SV=2",10,0.70231928,1.143221487,0.903666245,0.988621997,1.186569528,1.196705733,1.082931993,1.117861868,0.909558824,0.878676471,0.965489759,0.93902925,0.886978508,1.096333755,1.036426988,1.135254989,1.018893887,1.06462027,1.166176471,0.688970588,1.005021121,0.932175022,0.947661188,0.985082174,0.92049414,1.097244219,1.044191585,1.388727177,0.997058824,1.041176471,0.870096113,0.713383445,1.011013343,0.999817446,1.035883192
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Homo sapiens BCKDK PE=1 SV=2",10,1.087841035,0.956000631,0.955801105,1.079189687,1.13059034,1.123434705,0.996806967,1.027285922,1.20802005,1.01754386,0.999526889,1.025074909,1.141804788,0.907918969,0.82647585,0.758497317,0.953846154,0.900725689,1.127819549,0.721804511,1.115596909,1.180886296,0.825046041,0.987108656,0.82647585,0.983899821,0.844992743,1.176197388,1.398496241,1.28320802,0.030756065,0.954821184,1.05825143,0.936349462,1.062190796
Q07817,BCL2L1,Bcl-2-like protein 1 OS=Homo sapiens BCL2L1 PE=1 SV=1,10,0.986923606,1.20440468,1.05974026,0.984415584,0.944375773,0.914709518,0.892789012,1.010301412,1.059541985,1.047328244,1.119064006,1.282863042,0.987012987,0.854545455,0.932014833,0.820766378,0.869896986,0.954597482,1.209160305,0.79389313,0.977288369,1.17687543,1.093506494,1.033766234,0.991347342,0.796044499,1.079740557,0.936283861,1.282442748,0.888549618,0.646908823,0.77811067,1.010453007,0.98238146,1.025584515
Q9BXK5,BCL2L13,Bcl-2-like protein 13 OS=Homo sapiens BCL2L13 PE=1 SV=1,10,0.943283289,1.096065156,0.800558567,1.158370297,0.937278961,1.033417539,0.916541572,0.954495553,1.12716763,0.917148362,0.948287705,1.038661564,0.974043043,0.88746509,0.821219776,0.964705882,1.035601461,0.867788408,0.782594733,1.102440591,1.120302227,1.085173192,1.004764252,1.208477082,1.055070372,1.052472032,1.056034772,1.089955862,1.04271034,0.992614001,0.348626506,0.056728999,0.988432693,0.942280825,1.070757413
Q92843-2,BCL2L2,Isoform 3 of Bcl-2-like protein 2 OS=Homo sapiens BCL2L2,10,1.097421203,1.069340974,1.000432713,1.032453483,1.101305158,1.124922312,1.009056839,0.984853217,1.079854809,1.019963702,0.907163324,0.887106017,0.959757681,1.003894418,1.070229956,1.0615289,0.860243598,0.961742661,1.012704174,1.15154265,1.079083095,0.891690544,1.053223713,1.040242319,0.939714108,1.12616532,1.023891318,1.05262336,0.996370236,1.095281307,0.063816797,0.42730538,1.051960441,0.987591338,1.029828532
Q4VC05-2,BCL7A,Isoform 2 of B-cell CLL/lymphoma 7 protein family member A OS=Homo sapiens BCL7A,8,1.080416272,0.930936613,0.789007092,0.895390071,,,0.956171285,0.843828715,1.28,1.096470588,0.902081362,0.906338694,1.026595745,0.991134752,,,0.859949622,0.875566751,0.894117647,1.510588235,1.053453169,0.864711447,0.941489362,0.89893617,,,0.937531486,1.095717884,0.785882353,1.378823529,0.90309995,0.904363063,0.98402758,0.995796601,0.994568175
Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1 OS=Homo sapiens BCLAF1 PE=1 SV=2,10,0.994992533,0.96811034,0.916745061,0.955785513,0.870695257,1.005847953,0.90184312,0.839262752,1.101744186,0.976744186,1.028375648,0.979530879,0.907337723,1.004233302,1.027940221,1.14619883,0.878268324,1.04436348,1.220930233,1.283430233,1.071597997,0.880611438,0.97130762,1.005174036,0.91682911,1.059129305,0.913416202,0.957565366,0.85755814,1.146802326,0.051322255,0.518846338,0.95317709,1.052060887,0.977999154
P11274,BCR,Breakpoint cluster region protein OS=Homo sapiens BCR PE=1 SV=2,10,0.97461064,0.911904032,0.978225806,0.986290323,1.076546003,1.046757164,1.049644779,0.924262648,1.167129813,1.011512505,0.949800634,1.079030774,0.955645161,0.989516129,0.91214178,1.007918552,0.885769645,0.94613563,0.900357285,0.578007146,1.121425894,0.856217837,0.944354839,0.871370968,1.046757164,0.931749623,1.079095802,1.031733046,1.190948789,0.943231441,0.072860797,0.797508362,1.012688371,0.920432273,1.00168854
Q9Y276,BCS1L,Mitochondrial chaperone BCS1 OS=Homo sapiens BCS1L PE=1 SV=1,10,1.029275809,1.052151239,1.087429891,1.011547344,1.110642147,1.076273741,0.894446435,1.117305625,0.916496945,0.952477936,0.9563826,1.018252934,0.960079182,1.062355658,0.885740127,0.803135363,0.945324257,0.964098889,0.936184657,0.706720978,1.071115325,1.145312315,0.892774662,0.923787529,1.120892373,0.932167621,1.004371193,1.069867431,1.091649695,1.05838425,0.024899684,0.87026192,1.024804711,0.923827464,1.031032239
Q02338,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Homo sapiens BDH1 PE=1 SV=3",10,1.101602967,0.976553161,1.228728992,1.103991597,1.144713526,1.116361488,1.080455377,1.25583554,1.434792171,0.928084451,0.8204861,0.985809299,0.980304622,0.93697479,0.750443001,0.793266391,0.959785962,0.858227088,0.791290961,0.776775896,0.91396696,0.964967665,0.985031513,0.954831933,0.958357944,1.005906675,1.065876764,0.687215048,1.393006378,1.212667693,8.60E-05,0.116140857,1.137111927,0.865336411,1.014182857
Q9BUT1,BDH2,3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens BDH2 PE=1 SV=2,10,0.664789814,1.139420308,0.575090554,0.738367233,0.895283299,0.993770395,0.884723416,0.889997134,0.683505155,0.861340206,1.264700237,1.296947981,0.855948732,1.123432711,1.456541086,1.061406111,1.030553167,1.050501576,1.487628866,1.663402062,0.733508222,1.006846247,0.899414879,0.942323767,0.720854346,0.933847523,0.870621955,0.860762396,0.78556701,0.956185567,0.000594442,0.540850429,0.832628751,1.229106253,0.870993191
Q14457,BECN1,Beclin-1 OS=Homo sapiens BECN1 PE=1 SV=2,10,1.00020475,1.003890254,0.856943475,0.855547802,1.048361934,1.178367135,1.021977334,0.941581617,1.20333102,0.970159611,0.986486486,0.952702703,0.799720865,0.908583391,0.951638066,0.914196568,0.948594327,0.962369294,0.902151284,0.717557252,1.064905815,0.970720721,0.928122819,0.988136776,1.267810712,0.98699948,1.030492768,1.003068061,0.953504511,1.106176266,0.033995441,0.653809692,1.008036493,0.904400024,1.029993793
Q9BUH8,BEGAIN,Brain-enriched guanylate kinase-associated protein OS=Homo sapiens BEGAIN PE=1 SV=1,10,1.374903772,0.983833718,1.155492154,0.958630528,1.016194332,1.20242915,0.949868074,1.318381706,1.157360406,0.994923858,0.874518861,1.058249936,1.132667618,1.064194009,0.55465587,0.611336032,1.051011434,0.851363237,0.76142132,0.649746193,1.36309982,0.878111368,1.215406562,0.699001427,0.906882591,0.890688259,0.994722955,0.81530343,1.248730964,1.126903553,0.007198445,0.259024454,1.11120177,0.860916451,1.013885093
Q9NWD9,BEX4,Protein BEX4 OS=Homo sapiens BEX4 PE=2 SV=1,7,2.739240506,0.921518987,,,1.161904762,1.342857143,0.44,0.573333333,1.858585859,1.939393939,0.658227848,0.881012658,,,0.666666667,1.257142857,,0.746666667,0.929292929,0.323232323,1.073417722,0.774683544,,,0.742857143,1.40952381,1.56,1.253333333,2.121212121,2.181818182,0.079040022,0.959089751,1.372104316,0.780320278,1.389605732
P21810,BGN,Biglycan OS=Homo sapiens BGN PE=1 SV=2,10,0.213177046,0.255329426,0.780637153,1.060984692,2.42657078,0.785957608,0.511501842,1.398345959,0.463313117,0.480675467,0.715978618,0.251368584,1.873396773,0.783781547,0.397615443,0.956850871,1.877267357,0.304260199,0.435723629,1.160899037,1.036420429,0.386133831,0.716921804,1.192718246,3.377365632,0.852573808,0.873917576,0.386545278,0.373885123,0.231894399,0.894848492,0.772002411,0.837649309,0.875714206,0.942837613
Q93088,BHMT,Betaine--homocysteine S-methyltransferase 1 OS=Homo sapiens BHMT PE=1 SV=2,10,1.705568268,1.045003814,1.118232044,1.054143646,1.122715405,1.154046997,0.805736636,0.996088657,0.845360825,0.958762887,1.199084668,0.895499619,1.047513812,1.206629834,1.018276762,1.143603133,0.664928292,0.870925684,0.907216495,0.618556701,1.612509535,0.842105263,0.93038674,1.067403315,1.080939948,1.133159269,1.217731421,1.668839635,1.319587629,1.463917526,0.241938517,0.211013229,1.080565918,0.9572235,1.233658028
Q96G01,BICD1,Protein bicaudal D homolog 1 OS=Homo sapiens BICD1 PE=1 SV=3,8,1.107309487,0.816485226,1.288590604,1.543624161,,,1.15398504,1.071446995,0.933333333,0.728205128,0.909797823,1.102643857,1.22147651,1.718120805,,,0.894506061,0.996646892,0.892307692,0.553846154,1.253499222,1.105754277,1.194630872,1.463087248,,,1.065772505,0.944544751,1.18974359,1.302564103,0.773784514,0.327636816,1.080372497,1.036168224,1.189949571
Q8TD16-2,BICD2,Isoform 2 of Protein bicaudal D homolog 2 OS=Homo sapiens BICD2,10,0.99380531,0.978761062,1.282142857,1.132142857,0.822222222,1.488888889,1.006098514,0.966692729,1.001383126,0.957123098,1.001769912,0.972566372,0.975,0.971428571,2.333333333,1.222222222,0.896950743,1.082720876,1.385892116,1.181189488,0.959734513,0.870353982,1.025,1.121428571,0.711111111,1.333333333,0.916028147,0.974511337,0.998616874,1.012448133,0.356326017,0.385100539,1.062926066,1.202307363,0.9922566
P55957-2,BID,Isoform 2 of BH3-interacting domain death agonist OS=Homo sapiens BID,10,0.835294118,1.115508021,0.959694989,1.023965142,1.332428765,1.204884668,1.04858633,1.076036234,1.120792079,1.401980198,0.97486631,1.004812834,1.130718954,1.167755991,1.10990502,1.223880597,1.011254461,1.174855888,1.235643564,1.227722772,0.877540107,1.071122995,0.95751634,0.934640523,1.345997286,1.101763908,1.179247873,1.014548449,1.045544554,1.314851485,0.819922261,0.707455085,1.111917054,1.126141639,1.084277352
O00499-9,BIN1,Isoform BIN1-10-13 of Myc box-dependent-interacting protein 1 OS=Homo sapiens BIN1,10,0.630753138,1.767782427,0.910891089,0.485148515,0.658854167,0.622395833,1.576109937,0.730972516,0.73015873,1.317460317,1.046025105,0.885983264,0.396039604,0.669966997,1.7265625,1.239583333,0.906448203,1.991014799,2.214285714,1.277777778,0.417364017,1.447698745,0.570957096,0.834983498,0.473958333,0.768229167,0.559725159,0.738372093,0.952380952,1.047619048,0.224761314,0.35984474,0.943052667,1.23536873,0.781128811
